Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
Sulfur cycling	Thiosulfate disproportionation	thiosulfate -> sulfite + H2S (phsA)	K08352	phsA	yes				EC:1.8.5.5	thiosulfate reductase / polysulfide reductase chain A			thiosulfate + a quinol = sulfite + hydrogen sulfide + a quinone [RN:R11488]																
Carbon fix	Calvin Cycle	Calvin Cycle (prkB)	K00855	prkB	yes		PF00485			Phosphoribulokinase (PRK)	COG0572	Bacteria	RuP->RuBP																
Carbon fix	Calvin Cycle	Calvin Cycle (rbcSL)	K01601	rbcL	yes		PF00016;PF02788		EC:4.1.1.39	ribulose-bisphosphate carboxylase (RuBisCO) large chain	COG1850	"Bacteria/Archaea/cyanobacteria, algae and C3 plants"	RuBP+CO2+H2O -> G-3P	"initial step in CBB, fix CO2"															
Carbon fix	Calvin Cycle	Calvin Cycle (rbcSL)	K01602	rbcS						ribulose-bisphosphate carboxylase (RuBisCO) small chain	NA	Bacteria/Archaea	RuBP+CO2+H2O -> G-3P	"initial step in CBB, fix CO2"															
Carbon fix	C4-Dicarboxylic acid cycle	C4-Dicarboxylic acid cycle (ppc)	K01595	ppc	yes					phosphoenolpyruvate carboxylase (PEPC)			PEP+HCO3 -> oxaloacetate + Pi	second enzyme to efficiently fix CO2 in bacteria/C3 plant; primary CO2-fixing enzyme in C4 and CAM plants															
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl formate -> CO2 (fdhAB)	K05299	fdhA	yes					formate dehydrogenase (NADP+) alpha subunit	COG3383	Bacteria/Archaea																	
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl formate -> CO2 (fdhAB)	K15022	fdhB						formate dehydrogenase (NADP+) beta subunit	NA	Bacteria/Archaea	CO2->formate																
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO2 -> CO (cooFS)	K00196	cooF						anaerobic carbon-monoxide dehydrogenase iron sulfur subunit			CO2->CO	"Not necessary, sometimes replaced by cdhAB"															
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO2 -> CO (cooFS)	K00198	cooS	yes					anaerobic carbon-monoxide dehydrogenase catalytic subunit	COG1151	Bacteria/Archaea	CO2->CO	"Not necessary, sometimes replaced by cdhAB"															
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> Acetyl-CoA (acsCBDE)	K15023	acsE						5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	NA	Bacteria/Archaea																	
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> Acetyl-CoA (acsCBDE)	K14138	acsB	yes					acetyl-CoA synthase	COG1152?COG1614	Bacteria/Archaea																	
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> Acetyl-CoA (acsCBDE)	K00194	cdhD/ascD	yes					acetyl-CoA decarbonylase/synthase complex subunit delta	COG2069	Bacteria/Archaea																	
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> Acetyl-CoA (acsCBDE)	K00197	cdhE/ascC						acetyl-CoA decarbonylase/synthase complex subunit gamma	COG1456	Bacteria/Archaea																	
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> CO2 (cdhAB)	K00192	cdhA	yes				EC:1.2.7.4	"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha"																			
Carbon fix	Wood-Ljungdahl	Wood-Ljungdahl CO -> CO2 (cdhAB)	K00195	cdhB						"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon"																			
Carbon fix	C1 pool	One carbon pool by folate	K01938	fhs					EC:6.3.4.3	formate--tetrahydrofolate ligase																			
Carbon fix	3-hydroxypropionate bicycle	3-hydroxypropionate bicycle	K14470	mct						2-methylfumaryl-CoA isomerase	COG1804	Chloroflexi																	
