Metabolism	Pathway	Module	KO	gene_name	if_key	NCBIfam	pfam	Refseq	EC	gene function	COG	Taxonomy	Reaction	Note															
Carbon source utilization	Polysaccharides degradation	polygalacturonase	K01184	polygalacturonase																									
Carbon source utilization	Polysaccharides degradation	pectinesterase	K01051	pectinesterase																									
Carbon source utilization	Polysaccharides degradation	Amylolytic enzymes	"K01176, K05343, K07405"	alpha-amylase						alpha-amylase																			
Carbon source utilization	Polysaccharides degradation	Amylolytic enzymes	K01178	sGA1						glucoamylase																			
Carbon source utilization	Polysaccharides degradation	Amylolytic enzymes	K01200	pullulanase						pullulanase																			
Carbon source utilization	Polysaccharides degradation	Amylolytic enzymes	K01214	iSA					EC:3.2.1.68	isoamylase																			
Carbon source utilization	Polysaccharides degradation	Chitin degrading	"K01183, K13381"	chitiniase	yes					chitiniase																			
Carbon source utilization	Polysaccharides degradation	Chitin degrading	"K01207, K12373, K14459"	hexosaminidase						hexosaminidase																			
Carbon source utilization	Polysaccharides degradation	PUL (Polysaccharide Utilization Loci)	K21573	susC	yes					TonB-dependent starch-binding outer membrane protein SusC																			
Carbon source utilization	Polysaccharides degradation	PUL (Polysaccharide Utilization Loci)	K21572	susD						"starch-binding outer membrane protein, SusD/RagB family"																			
Carbon source utilization	Polysaccharides degradation	Hemicullulose debranching	"K01209, K15921"	arabinosidase						arabinosidase																			
Carbon source utilization	Polysaccharides degradation	Hemicullulose debranching	K01195	beta-glucuronidase						beta-glucuronidase																			
Carbon source utilization	Polysaccharides degradation	Hemicullulose debranching	K05989	alpha-L-rhamnosidase						alpha-L-rhamnosidase																			
Carbon source utilization	Polysaccharides degradation	Endohemicellulases	K01811	alpha-D-xyloside xylohydrolase						alpha-D-xyloside xylohydrolase																			
Carbon source utilization	Sucrose degradation	sucrose degradation	K01193	sacA	yes				EC:3.2.1.26	beta-fructofuranosidase																			
Carbon source utilization	Sucrose degradation	sucrose degradation	K00690	sucrose phosphorylase					EC:2.4.1.7	sucrose phosphorylase																			
Carbon source utilization	Mannose degradation	mannose degradation	K01809	manA					EC:5.3.1.8	mannose-6-phosphate isomerase																			
Carbon source utilization	Galactose degradation	galactose degradation	K01785	galM	yes				EC:5.1.3.3	aldose 1-epimerase																			
Carbon source utilization	Galactose degradation	galactose degradation	K00849	galK					EC:2.7.1.6	galactokinase 																			
Carbon source utilization	Galactose degradation	galactose degradation	K00965	galT					EC:2.7.7.12	UDPglucose--hexose-1-phosphate uridylyltransferase																			
Carbon source utilization	Fucose degradation	fucose degradation	K01818	fucI					EC:5.3.1.25 5.3.1.3	L-fucose/D-arabinose isomerase																			
Carbon source utilization	Xylose degradation	xylose degrading (isomerase pathway)	K01805	xylA	yes					xylose isomerase																			
Carbon source utilization	Xylose degradation	xylose degrading (isomerase pathway)	K00854	xylB						xylulokinase																			
Carbon source utilization	Xylose degradation	xylose degrading (oxidoreductase pathway)	K17743	XYL1	yes					D-xylose reductase																			
Carbon source utilization	Xylose degradation	xylose degrading (oxidoreductase pathway)	K05351	D-xylose reductase						D-xylose reductase																			
Carbon source utilization	Xylose degradation	xylose degrading (oxidoreductase pathway)	K00011	AKR1B						aldehyde reductase																			
Carbon source utilization	Xylose degradation	xylose degrading (xylonate hydratase pathway)	K14275	xad	yes					D-xylonate dehydratase																			
Carbon source utilization	Xylose degradation	xylose degrading (weimburg/dahms)	K14273	xdh	yes					"D-xylose 1-dehydrogenase (NADP+, D-xylono-1,5-lactone-forming)"																			
Carbon source utilization	Xylose degradation	xylose degrading (weimburg/dahms)	K00078	DHDH						dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)																			
Carbon source utilization	Xylose degradation	xylose degrading (weimburg/dahms)	K14274	xylC						"xylono-1,5-lactonase"																			
Carbon source utilization	Xylosidase	xylosidase	K01198	beta-xylosidase						beta-xylosidase																			
Carbon source utilization	Mannosidase	mannosidase	K01192	beta-mannosidase	yes					beta-mannosidase																			
Carbon source utilization	Galactosidase	galactosidase	"K01190, K12111, K12308"	beta-galactosidase						beta-galactosidase																			
Carbon source utilization	Fructose degradation	fructose degradation	K00847	scrK					EC:2.7.1.4	fructokinase 																			
Carbon source utilization	Galacturonic acid degradation	galacturonic acid degradation	K01812	uxaC					EC:5.3.1.12	glucuronate isomerase																			
Carbon source utilization	Galacturonic acid degradation	galacturonic acid degradation	K00874	kdgK					EC:2.7.1.45	2-dehydro-3-deoxygluconokinase																			
Carbon source utilization	multi-carbon alkane degradation	Alkylsuccinate synthase		ASS									require syntrophic associations between fermentative bacteria and methanogenic archaea. The first step: addition to fumarate yielding alkyl-subtituted succinateds by ASS.																
Carbon source utilization	multi-carbon alkane degradation	alkyl-coenzyme M reductases		ACR									similar to Mcr genes																
Carbon source utilization	hydrocarbon degradation	hydrocarbon monooxygenase (hmoA)	K10944-hmoA	HmoA																									
Carbon source utilization	Fatty acid degradation	Fatty acid degradation	"K00249, K00255, K06445, K06446, K09456, K09478, K11410, K15980, K18244"	acyl-CoA dehydrogenase	yes					acyl-CoA dehydrogenase	"a acyl-CoA + electron-transfer flavoprotein = a trans-2,3-dehydroacyl-CoA + reduced electron-transfer flavoprotein [RN:R00392]"																		
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K00514	crtQ	yes					zeta-carotene desaturase	COG3349	Bacteria/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K02291	crtB						15-cis-phytoene/all-trans-phytoene synthase	COG1562	Bacteria/Archaea/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K02293	crtP						15-cis-phytoene desaturase	COG3349	Bacteria/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K02294	crtR						beta-carotene hydroxylase	COG3239	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K06443	crtY						lycopene beta-cyclase	NA	Bacteria/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K06444	lycE						lycopene epsilon-cyclase	NA	Bacteria/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09835	crtH						prolycopene isomerase	COG1233	Bacteria/Eukaryotes																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09836	crtW						beta-carotene ketolase	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09844	crtC						"carotenoid 1,2-hydratase"	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09845	crtD						"1-hydroxycarotenoid 3,4-desaturase"	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09846	crtF						demethylspheroidene O-methyltransferase	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K09879	crtU						isorenieratene synthase	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K10027	crtI						phytoene desaturase	COG1233	Bacteria/Archaea																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K10210	crtP						diapolycopene oxygenase	COG1233	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K10211	crtQ						"4,4'-diaponeurosporenoate glycosyltransferase"	COG0463	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K10212	crtO						"glycosyl-4,4'-diaponeurosporenoate acyltransferase"	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K14605	cruA						lycopene cyclase CruA	NA	Bacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K14606	cruP						lycopene cyclase CruP	NA	Cyanobacteria																	
Others	Carotenoid biosynthesis	Carotenoid biosynthesis	K15746	crtZ						beta-carotene 3-hydroxylase	NA	Bacteria/Archaea/Eukaryotes																	
Others	NiFe Hydrogenases	NiFe Hydrogenases	K00437	hydB						[NiFe] hydrogenase large subunit	NA	Bacteria	H2<->2H++2e-																
Others	NiFe Hydrogenases	NiFe Hydrogenases	K18008	hydA	yes					[NiFe] hydrogenase small subunit	NA	Bacteria																	
Others	NiFe Hydrogenases	NiFe Hydrogenases	K18005	hoxF	yes					[NiFe] hydrogenase diaphorase moiety large subunit	NA	Bacteria																	
Others	NiFe Hydrogenases	NiFe Hydrogenases	K18006	hoxU						[NiFe] hydrogenase diaphorase moiety small subunit	NA	Bacteria																	
Others	As(V) Arsenate reduction	Arsenate reduction (arrAB)	K28466	arrA	yes	NF041714				arsenate respiratory reductase subunit A				AsgeneDB better annotation															
Others	As(V) Arsenate reduction	Arsenate reduction (arrAB)	K28467	arrB						arsenate respiratory reductase subunit B																			
Others	As methylation	Arsenite methylation (arsM)	K07755	arsM	yes				EC:2.1.1.137	arsenite methyltransferase																			
Others	As(V) Arsenate reduction	Arsenate reduction (arsC_grx)	K00537	arsC_grx	yes				EC:1.20.4.1	arsenate reductase (glutaredoxin)																			
Others	As(V) Arsenate reduction	Arsenate reduction (arsC_grx)	K03741	arsC_trx	yes				EC:1.20.4.4	arsenate reductase (thioredoxin)																			
Others	Arsenite oxidation	Arsenite oxidation (arxA)	NA	arxA	yes	NA				arsenite oxidase (molybdopterin subunit)																			
Others	Arsenite oxidation	Arsenite oxidation (aioA)	K08356	aioA	yes					arsenite oxidase large subunit																			
Others	Arsenite transport	Arsenite transport (arsB)	K03325	arsB	yes					arsenite transporter																			
Others	MeHg -> Hg(II)	MeHg -> Hg(II) (merB)	K00221	merB	yes	NF015216				alkylmercury lyase			MeHg -> Hg(II)																
Others	Hg(II) -> Hg(0)	Hg(II) -> Hg(0) (merA)	K00520	merA	yes	TIGR02053				mercuric reductase			Hg(II) -> Hg(0)																
Others	Hg(II) -> MeHg	Hg(II) -> MeHg (hgcA)	NA	hgcA	yes	"NF040863,NF043039"				mercury methylation protein subunit A			Hg(II) -> MeHg																
Others	Manganese oxidation	Manganese oxidation	K06324	cotA	yes				EC:1.16.3.3	"spore coat protein A, manganese oxidase"																			
Others	Manganese oxidation	Manganese oxidation	K22348	moxA	yes				EC:1.16.3.3	manganese oxidase																			
Others	Manganese oxidation	Manganese oxidation	K22349	mnxG					EC:1.16.3.3	manganese oxidase																			
Others	Manganese oxidation	Manganese oxidation	K22350	mcoA					EC:1.16.3.3	manganese oxidase																			
Others	Fe oxidation	Fe oxidation (cyc2)	K20150	cyc2	yes					iron:rusticyanin reductase				FeGenie better annoation															
Others	Fe oxidation	Fe oxidation	NA	cyc1	yes	NA																							
Others	Fe reduction	Fe reduction	NA	mtrA_Fe	yes	TIGR03508	PF13435	Q8EG35		Extracelllular iron oxide respiratory system periplasmic decaheme cytochrome c component MtrA																			
Others	Fe reduction	Fe reduction	NA	mtrB_Fe		TIGR03509	PF11854	Q8CVD4		Extracellular iron oxide respiratory system outer membrane component MtrB																			
Others	Fe reduction	Fe reduction	NA	mtrC_Fe		TIGR03507		O87540		Deca-heme c-type cytochrome																			
Others	Chlorite reduction	Chlorite reduction	K09162	cld	yes					chlorite dismutase																			
Others	Selenate reduction	Selenate reduction	K12529	ygfM						putative selenate reductase FAD-binding subunit	selenite + H2O + acceptor = selenate + reduced acceptor [RN:R07229]																		
Others	Selenate reduction	Selenate reduction	K12528	xdhD						putative selenate reductase molybdopterin-binding subunit	selenite + H2O + acceptor = selenate + reduced acceptor [RN:R07229]																		
Others	Selenate reduction	Selenate reduction	K12527	ygfK	yes					putative selenate reductase	selenite + H2O + acceptor = selenate + reduced acceptor [RN:R07229]																		
Others	Polyhydroxyalkanoates (PHA) synthesis	Polyhydroxyalkanoates (PHA) synthesis	K00626	atoB					EC:2.3.1.9	acetyl-CoA C-acetyltransferase																			
Others	Polyhydroxyalkanoates (PHA) synthesis	Polyhydroxyalkanoates (PHA) synthesis	K00059	fabG					EC:1.1.1.100	3-oxoacyl-[acyl-carrier protein] reductase																			
Others	Polyhydroxyalkanoates (PHA) synthesis	Polyhydroxyalkanoates (PHA) synthesis	K03821	phaC	yes				EC:2.3.1.304	poly[(R)-3-hydroxyalkanoate] polymerase subunit PhaC																			
Others	Hopanoid synthesis	Hopanoid synthesis	K06045	shc	yes					squalene-hopene/tetraprenyl-beta-curcumene cyclase				"Membrane Stability, Environmental Adaptation, Metabolic Versatility Indicator"															
Others	Hopanoid synthesis	Hopanoid synthesis	K21677	hpnE	yes					hydroxysqualene dehydroxylase [EC:1.17.8.1]																			
Others	Hopanoid synthesis	Hopanoid synthesis	K21678	hpnD						presqualene diphosphate synthase [EC:2.5.1.103]																			
Others	Hopanoid synthesis	Hopanoid synthesis	K21679	hpnC						hydroxysqualene synthase																			
Others	polyphenol degradation	polyphenol degradation (queD)	K06911	queD	yes					"quercetin 2,3-dioxygenase"				polyphenol -> CO															
Others	heme biosynthesis	heme biosynthesis	K01772	hemH	yes				EC:4.98.1.1 4.99.1.9	protoporphyrin/coproporphyrin ferrochelatase				The last step to synthesis heme															
